Date, 2015/11/12
Game,GSW,vs,MIN
Location,MIN

Box Score, Golden State Warriors
,,PTS,AST,TOT-REB,OFF-REB,DEF-REB,STL,BLK,FGM,FGA,3PM,3PA,FTM,FTA,TOV,FOUL,MIN
alec,burks,24.0,2.0,3.0,2.0,1.0,1.0,0.0,9.0,16.0,3.0,3.0,3.0,4.0,3.0,4.0,34:47
joe,ingles,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,09:41
trevor,booker,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,16:09
tibor,pleiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:16
derrick,favors,25.0,2.0,12.0,5.0,7.0,3.0,7.0,10.0,18.0,0.0,0.0,5.0,7.0,1.0,3.0,39:45
rodney,hood,10.0,3.0,1.0,0.0,1.0,2.0,0.0,4.0,14.0,1.0,5.0,1.0,2.0,1.0,3.0,38:26
trey,burke,6.0,2.0,3.0,0.0,3.0,2.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,27:04
trey,lyles,2.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,17:39
elijah,millsap,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02:35
Team,Overal,91.0,13.0,42.0,11.0,31.0,10.0,9.0,34.0,89.0,4.0,17.0,19.0,25.0,10.0,23.0,240:00

